編號 No.,區 District,地址 Address,家居檢疫最後日期 End Date of Home Quarantine Order
1,中西區 Central & Western,"干諾道中5號
NO.5 CONNAUGHT ROAD CENTRAL",13/03/2020
2,中西區 Central & Western,"中亞大樓
CHUNG AH MANSION",13/03/2020
3,中西區 Central & Western,"北街4-8號五福大廈A座
BLOCK A, NEW FORTUNE HOUSE, NO.4-8 NORTH STREET",13/03/2020
4,中西區 Central & Western,"永祥大廈
WING CHEUNG BUILDING",13/03/2020
5,中西區 Central & Western,"百年大樓1座
BLOCK 1, CENTENARY MANSION",13/03/2020
6,中西區 Central & Western,"西邊街34號
NO.34 WESTERN STREET",13/03/2020
7,中西區 Central & Western,"尚嶺
EIVISSA CREST",13/03/2020
8,中西區 Central & Western,"東輝花園福澤樓
FOOK CHAK HSE, TUNG FAI GARDENS",13/03/2020
9,中西區 Central & Western,"恆裕大廈
HANG YUE BUILDING",13/03/2020
10,中西區 Central & Western,"皇后大道西239號
NO.239 QUEEN'S ROAD WEST",13/03/2020
11,中西區 Central & Western,"皇后大道西421號華明中心A座
BLOCK A, WAH MING CENTRE, NO.421 QUEEN'S ROAD WEST",13/03/2020
12,中西區 Central & Western,"海怡花園3座
BLOCK 3, HARBOUR VIEW GARDEN",13/03/2020
13,中西區 Central & Western,"第三街163號廣豐臺2座
BLOCK 2, KWONG FUNG TERRACE, NO.163 THIRD STREET",13/03/2020
14,中西區 Central & Western,"麥當勞道1號
NO.1 MACDONNELL ROAD",13/03/2020
15,中西區 Central & Western,"惠德大廈
WAI TAK BUILDING",13/03/2020
16,中西區 Central & Western,"雅賓利大廈
THE ALBANY",13/03/2020
17,中西區 Central & Western,"順昌大廈
SHUN CHEONG BUILDING",13/03/2020
18,中西區 Central & Western,"業昌大廈
YIP CHEUNG BUILDING",13/03/2020
19,中西區 Central & Western,"德輔道西228號
NO.228 DES VOEUX ROAD WEST",13/03/2020
20,中西區 Central & Western,"德輔道西230號
NO.230 DES VOEUX ROAD WEST",13/03/2020
21,中西區 Central & Western,"德輔道西237號
NO.237 DES VOEUX ROAD WEST",13/03/2020
22,中西區 Central & Western,"德輔道西406B號
NO.406B DES VOEUX ROAD WEST",13/03/2020
23,中西區 Central & Western,"學林雅軒
HILARY COURT",13/03/2020
24,中西區 Central & Western,"禧利街18號
NO.18 HILLIER STREET",13/03/2020
25,中西區 Central & Western,"薄扶林道89號寶翠園1座
BLOCK 1, THE BELCHER'S, NO.89 POK FU LAM ROAD",13/03/2020
26,中西區 Central & Western,"醫院道18號榮華閣2座
BLOCK 2, WINNER COURT, NO.18 HOSPITAL ROAD",13/03/2020
27,中西區 Central & Western,"羅便臣道31號
NO.31 ROBINSON ROAD",13/03/2020
28,中西區 Central & Western,"觀龍樓1座
BLOCK 1, KWUN LUNG LAU",13/03/2020
29,中西區 Central & Western,"LEXINGTON HILL
",14/03/2020
30,中西區 Central & Western,"士美菲路43號美菲閣2座
BLOCK 2, SMITHFIELD COURT, NO.43 SMITHFIELD",14/03/2020
31,中西區 Central & Western,"干德道58B號富景花園2座
BLOCK 2, SCENIC HEIGHTS, NO.58B CONDUIT ROAD",14/03/2020
32,中西區 Central & Western,"干諾道西155號高樂花園2座
BLOCK 2, CONNAUGHT GARDEN, NO.155 CONNAUGHT ROAD WEST",14/03/2020
33,中西區 Central & Western,"干諾道西155號高樂花園3座
BLOCK 3, CONNAUGHT GARDEN, NO.155 CONNAUGHT ROAD WEST",14/03/2020
34,中西區 Central & Western,"巴丙頓道6D號THE BABINGTON
THE BABINGTON, NO.6D BABINGTON PATH",14/03/2020
35,中西區 Central & Western,"四方街45號
NO.45 SQUARE STREET",14/03/2020
36,中西區 Central & Western,"卑路乍街101號
NO.101 BELCHER'S STREET",14/03/2020
37,中西區 Central & Western,"昌寧大廈
CHEUNG LING MANSION",14/03/2020
38,中西區 Central & Western,"金庭居
GOLDEN PAVILION",14/03/2020
39,中西區 Central & Western,"金陵大廈
KAM LING COURT",14/03/2020
40,中西區 Central & Western,"金融街8號
NO.8 FINANCE STREET",14/03/2020
41,中西區 Central & Western,"俊賢閣
INTELLIGENT COURT",14/03/2020
42,中西區 Central & Western,"冠華大廈
KOON WAH BUILDING",14/03/2020
43,中西區 Central & Western,"厚福大樓
HAU FOOK BUILDING",14/03/2020
44,中西區 Central & Western,"恒裕大廈
HANG YU BUILDING",14/03/2020
45,中西區 Central & Western,"柏道2號
NO.2 PARK ROAD",14/03/2020
