As of date,As of time,Areas,Cumulative number of cases,Number of new cases,Shincheonji Church of Jesus,Cheongdo-gun Daenam Hospital related,Imported cases,Others,With epidemiological linkage to a cluster or known confirmed case,Others##
24/02/2020,9:00,Seoul,30,4,1,0,18,11,,
24/02/2020,9:00,Busan,17,8,4,1,0,12,,
24/02/2020,9:00,Daegu,442,155,376,0,0,66,,
24/02/2020,9:00,Incheon,2,0,1,0,1,0,,
24/02/2020,9:00,Gwangju,9,2,7,0,1,1,,
24/02/2020,9:00,Daejeon,3,1,0,0,0,3,,
24/02/2020,9:00,Ulsan,1,0,1,0,0,0,,
24/02/2020,9:00,Sejong,1,0,1,0,0,0,,
24/02/2020,9:00,Gyeonggi-do,35,12,8,0,11,16,,
24/02/2020,9:00,Gangwon-do,7,0,3,0,0,4,,
24/02/2020,9:00,Chungcheongbuk-do,3,0,3,0,0,0,,
24/02/2020,9:00,Chungcheongnam-do,1,0,0,0,0,1,,
24/02/2020,9:00,Jeollabuk-do,3,0,0,0,1,2,,
24/02/2020,9:00,Jeollanam-do,1,0,0,0,1,0,,
24/02/2020,9:00,Gyeongsangbuk-do,186,16,38,112,0,36,,
24/02/2020,9:00,Gyeongsangnam-do,20,9,13,0,0,7,,
24/02/2020,9:00,Jeju,2,0,0,0,0,2,,
25/02/2020,9:00,Seoul,36,3,2,0,18,16,,
25/02/2020,9:00,Busan,38,15,5,3,0,30,,
25/02/2020,9:00,Daegu,499,57,407,1,0,91,,
25/02/2020,9:00,Incheon,2,0,1,0,1,0,,
25/02/2020,9:00,Gwangju,9,0,7,0,1,1,,
25/02/2020,9:00,Daejeon,3,1,0,0,0,3,,
25/02/2020,9:00,Ulsan,2,1,1,0,0,1,,
25/02/2020,9:00,Sejong,1,0,1,0,0,0,,
25/02/2020,9:00,Gyeonggi,40,7,10,0,11,19,,
25/02/2020,9:00,Gangwon,6,0,2,0,0,4,,
25/02/2020,9:00,Chungbuk,3,0,3,0,0,0,,
25/02/2020,9:00,Chungnam,1,0,0,0,0,1,,
25/02/2020,9:00,Cheonbuk,3,0,0,0,1,2,,
25/02/2020,9:00,Cheonnam,2,0,0,0,1,1,,
25/02/2020,9:00,Gyeongbuk,225,45,49,109,0,67,,
25/02/2020,9:00,Gyeongnam,21,1,13,0,0,8,,
25/02/2020,9:00,Jeju,2,0,0,0,0,2,,
26/02/2020,9:00,Seoul,45,8,2,0,18,25,,
26/02/2020,9:00,Busan,50,13,6,2,0,42,,
26/02/2020,9:00,Daegu,677,178,501,1,0,175,,
26/02/2020,9:00,Incheon,3,1,1,0,1,1,,
26/02/2020,9:00,Gwangju,9,0,7,0,1,1,,
26/02/2020,9:00,Daejeon,3,0,0,0,0,3,,
26/02/2020,9:00,Ulsan,3,1,2,0,0,1,,
26/02/2020,9:00,Sejong,1,0,1,0,0,0,,
26/02/2020,9:00,Gyeonggi,43,3,8,0,11,24,,
26/02/2020,9:00,Gangwon,6,0,2,0,0,4,,
26/02/2020,9:00,Chungbuk,5,2,3,0,0,2,,
26/02/2020,9:00,Chungnam,2,1,0,0,0,2,,
26/02/2020,9:00,Cheonbuk,3,0,0,0,1,2,,
26/02/2020,9:00,Cheonnam,1,0,0,0,1,0,,
26/02/2020,9:00,Gyeongbuk,268,42,51,111,0,106,,
26/02/2020,9:00,Gyeongnam,25,4,13,0,0,12,,
26/02/2020,9:00,Jeju,2,0,0,0,0,2,,
27/02/2020,9:00,Seoul,55,10,2,0,18,35,,
27/02/2020,9:00,Busan,58,8,6,2,0,50,,
27/02/2020,9:00,Daegu,1017,340,622,1,0,394,,
27/02/2020,9:00,Incheon,3,0,1,0,1,1,,
27/02/2020,9:00,Gwangju,9,0,7,0,1,1,,
27/02/2020,9:00,Daejeon,8,5,0,0,0,8,,
27/02/2020,9:00,Ulsan,6,3,2,0,0,4,,
27/02/2020,9:00,Sejong,1,0,1,0,0,0,,
27/02/2020,9:00,Gyeonggi,55,12,10,0,11,34,,
27/02/2020,9:00,Gangwon,6,0,2,0,0,4,,
27/02/2020,9:00,Chungbuk,7,2,3,0,0,4,,
27/02/2020,9:00,Chungnam,7,5,0,0,0,7,,
27/02/2020,9:00,Cheonbuk,3,0,0,0,1,2,,
27/02/2020,9:00,Cheonnam,1,0,0,0,1,0,,
27/02/2020,9:00,Gyeongbuk,321,53,62,111,0,148,,
27/02/2020,9:00,Gyeongnam,36,11,13,0,0,23,,
27/02/2020,9:00,Jeju,2,0,0,0,0,2,,
28/02/2020,9:00,Seoul,62,7,2,0,18,42,,
28/02/2020,9:00,Busan,63,5,6,2,0,55,,
28/02/2020,9:00,Daegu,1314,297,721,2,0,591,,
28/02/2020,9:00,Incheon,4,1,1,0,1,2,,
28/02/2020,9:00,Gwangju,9,0,7,0,1,1,,
