District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Sha Tin,Block 11 Royal Ascot,,Returning from Japan (Diamond Princess cruise)
Central & Western,Chester Court,,Returning from Japan (Diamond Princess cruise)
Eastern,"Kam Shan Mansion, Taikoo Shing",,358
Kowloon City,Stafford Road,,359
Central & Western,312 Queen’s Road West,,360
Central & Western,Bohemian House,,361
Central & Western,Golden Valley Mansion,,362
Southern,"Block C, The Manhattan",,363
Sha Tin,"Jade Heights, Belair Gardens",,366
Central & Western,Golden Valley Mansion,,367
Central & Western,Four Seasons Hotel Hong Kong,,"368, 369"
Central & Western,1 Ping On Lane,,370
Islands,"Mun Wo House, Mun Tung Estate",,371
Southern,"Block 12, South Horizons",,372
Wan Chai,Sing Kong Building,,373
Southern,"Block 25, Baguio Villa",,374
Central & Western,Wise Mansion,,375
Tai Po,San Uk Ka,,377
Central & Western,Centre Place,,378
Kowloon City,1 Oxford Road,,379
Eastern,6 Ming Yuen Western Street,,380
Sai Kung,Marina Cove,,381
Tai Po,"Block 3, Uptown Plaza",,383
Wan Chai,Hang Shun Mansions,,384
Sai Kung,"Kwong Cheong House, Kwong Ming Court",,385
Islands,"Ngan Yuet House, Ngan Wan Estate",,386
Wan Chai,Hang Shun Mansions,,387
Sai Kung,"King Min House, King Lam Estate",,388
Wan Chai,Percival House,,389
Wan Chai,Rosedale Hotel Hong Kong,,390
Wan Chai,1A Fung Fai Terrace,,391
Islands,Tai Long Wan Village,,392
Tai Po,Hong Lok Road East,,393
Yuen Long,Full Shing Building,,394
Tuen Mun,"Yonking Garden, Tsing Chuen Wai",,395
Islands,Auberge Discovery Bay Hong Kong,,396
Kwai Tsing,"Block 8, Tierra Verde",,397
Kwai Tsing,Dorsett Tsuen Wan,,398
Tuen Mun,Sun Fung Wai,,399
Yau Tsim Mong,Holiday Inn Golden Mile,,400
Yau Tsim Mong,Holiday Inn Golden Mile,,401
Central & Western,Welley Building,,402
Wan Chai,"Block A, Park Place",,403
Wan Chai,"Block A, Park Place",,404
Kowloon City,"Tower 16, Laguna Verde",,405
Southern,"Block 2, Stanford Villa",,406
Eastern,"Tower 1, Grand Promenade",,407
North,"Lane 12, Liu Pok Tsuen",,408
Yau Tsim Mong,"Tower 6, Island Harbourview",,409
Central & Western,52 Conduit Road,,410
Tuen Mun,San Hui Village,,411
Kwun Tong,Kwun Tong Disciplined Services Quarters,,412
Yuen Long,"Ping Oi House, Ping Yan Court",,413
Sham Shui Po,"8 Glee Path, Mei Foo Sun Chuen",,414
Kowloon City,Kwun Hei Court,,415
Yau Tsim Mong,The Kimberley Hotel,,415
Yau Tsim Mong,Best Western Plus Hotel,,415
Tai Po,Nam Wa Po,,416
Central & Western,Blessings Garden,,417
Yau Tsim Mong,"Block B, Oriental Gardens",,418
Wan Chai,Metropark Hotel Causeway Bay Hong Kong,,419
Wan Chai,Happy Valley 88,,420
Yau Tsim Mong,Sunpeace Court,,421
Eastern,Gold Mine Building,,422
Wan Chai,Haven Court,,423
Islands,"Tower 6, Caribbean Coast",,424
Yau Tsim Mong,19 Lai Chi Kok Road,,428
Southern,"Block 6, South Horizons, Ap Lei Chau",,429
Yau Tsim Mong,"Tower 2, One Silversea",,430
North,"Ching Chak House, Ching Ho Estate",,431
Wan Chai,"Yee Hing Building, 357 Hennessy Road",,432
Wan Chai,Hang Shun Mansions,,432
Wan Chai,Hang Shun Mansions,,433
Wan Chai,Hang Shun Mansions,,434
Central & Western,The Harbourview,,435
Yuen Long,"Heng Lai House, Tin Heng Estate",,436
Kowloon City,"Tower 5, One Homantin",,437
Central & Western,St Paul’s Terrace,,438
Tai Po,Villa Castell,,439
Wan Chai,Hang Shun Mansions,,440
Yau Tsim Mong,Rosewood Hong Kong,,441
Eastern,"Cheuk Wah House, Hing Wah (I) Estate",,442
Eastern,Tai Lung House,,444
Wong Tai Sin,"Tower 6, The Latitude",,446
