地區,大廈名單,最後個案居住日期,相關疑似/確診個案
沙田,新田圍邨豐圍樓,,716
東區,城市花園1座,,717
觀塘,安達邨賢達樓,,718
南區,貝沙灣南灣四期1座,,719
大埔,逸瓏灣二期10座,,720
中西區,瀚然,,721
南區,香港瑞思酒店,,722
東區,嘉亨灣1座,,723
西貢,清水灣半島7座,,724
西貢,清水灣半島7座,,725
沙田,雅景臺3座,,726
南區,石排灣邨碧銀樓,,727
南區,香港瑞思酒店,,728
元朗,廈村市,,729
元朗,Park Yoho Genova 30A座,,730
觀塘,觀塘帝盛酒店,,731
深水埗,泓景臺6座,,732
油尖旺,尖沙咀香港華麗酒店,,733
離島,逸東(二)邨悅逸樓,,734
灣仔,藍塘道12-22號友誼大廈,,735
東區,柏匯,,736
中西區,殷樺花園1期,,737
中西區,恒龍閣,,739
中西區,譽皇居,,740
葵青,長宏邨宏毅樓,,741
灣仔,愉富大廈A座,,742
離島,東環2B座,,743
九龍城,嘉樂閣,,745
九龍城,差館里35號,,746
離島,東環1A座,,747
南區,海怡半島美華閣,,748
離島,藍天海岸3期影岸‧紅A座,,749
東區,東旭苑東曉閣,,750
中西區,帝后華庭2座,,751
荃灣,荃灣中心天津樓,,752
離島,逸泰居,,753
西貢,厚德邨德富樓,,754
黃大仙,安強大樓,,755
油尖旺,豪華閣,,756
九龍城,東禧閣,,757
油尖旺,豐樂大廈,,758
觀塘,秀茂坪邨秀緻樓,,759
灣仔,益誠大廈,,760
屯門,雍景園,,761
離島,愉景灣碧濤海馬徑10號,,764
南區,雅致洋房5座,,765
荃灣,海濱花園海觀閣,,767
灣仔,V Happy Valley,,768
黃大仙,萬義大廈,,769
黃大仙,譽‧港灣8座,,770
油尖旺,擎天半島1座,,771
西貢,逸瓏海滙3座,,772
南區,曼克頓花園C座,,773
九龍城,紅磡海韻軒1座,,774
大埔,普益里10號,,775
油尖旺,御金國峰3座,,776
油尖旺,香港基督教青年會,,777
西貢,蠔涌新村,,778
沙田,樂山,,779
南區,香港海洋公園萬豪酒店,,780
南區,華貴邨華善樓,,781
元朗,錦繡花園,,782
沙田,名城第三期一座,,783
葵青,藍澄灣1座,,784
荃灣,綠楊新邨B座,,785
油尖旺,旺角帝盛酒店,,786
九龍城,黃埔花園銀竹苑9座,,787
九龍城,One Lasalle,,788
九龍城,啟德一號一座,,789
東區,新威園B座,,790
九龍城,半山壹號37座,,791
深水埗,樂年花園5座,,792
南區,旭逸居2座,,793
北區,粉嶺名都5座,,794
東區,太古城綠楊閣,,795
東區,興華(二)邨和興樓,,796
西貢,井欄樹村,,797
中西區,富山苑,,798
中西區,香港萬怡酒店,,799
葵青,荃灣帝盛酒店,,800
灣仔,駱克道292號,,801
葵青,葵康苑葵逸閣,,802
灣仔,會景閣,,804
灣仔,愉富大廈A座,,805
灣仔,景香樓,,806
中西區,羲皇台8座,,807
元朗,錦繡花園I段第五街,,808
葵青,華荔邨賞荔樓,,809
沙田,水泉澳邨明泉樓,,811
中西區,花園台1座,,812
離島,映灣園10座,,813
西貢,沙角尾村,,814
葵青,長康邨康和樓,,815
西貢,康盛花園2座,,816
中西區,瀚然,,817
中西區,靜安居,,818
灣仔,灣仔帝盛酒店,,819
南區,嘉隆苑嘉傑閣,,820
灣仔,香港諾富特世紀酒店,,821
南區,南濤閣1座,,822
中西區,怡廬,,823
西貢,黃竹山新村柳濤軒,,824
灣仔,香港諾富特世紀酒店,,825
中西區,香港華美達海景酒店,,826
油尖旺,重慶大廈A座,,827
九龍城,景山閣,,828
九龍城,景山閣,,829
黃大仙,峻弦五座,,830
中西區,蘭桂坊酒店,,832
荃灣,豪景花園二座,,833
南區,陽明山莊十四座,,834
西貢,寶盈花園7座,,835
灣仔,Resiglow,,836
灣仔,恆信大廈,,838
油尖旺,旺角維景酒店,,839
觀塘,平田邨平善樓,,840
沙田,雲端,,843
九龍城,差館里35號,,844
油尖旺,佐敦道38號,,845
觀塘,麗港城2座,,846
中西區,普頓臺,,847
葵青,葵涌邨秋葵樓,,848
灣仔,駱克道292號,,849
離島,愉景灣海燕徑,,850
九龍城,One Homantin 2座,,851
中西區,香港華大盛品酒店,,852
灣仔,龍濤苑1座,,853
觀塘,高翔苑高鳳閣,,854
北區,軍地簡頭村,,855
元朗,水邊圍邨泉水樓,,856
灣仔,騰黃閣,,857
北區,龍豐花園B座,,858
北區,龍豐花園B座,,859
北區,龍豐花園B座,,860
九龍城,豪門,,862
西貢,尚德邨尚仁樓,,863
中西區,玫瑰別墅,,865
中西區,宏基國際賓館,,866
葵青,荃灣帝盛酒店,,867
沙田,美城苑暉城閣,,868
灣仔,翠谷樓,,869
大埔,企嶺下新圍,,870
葵青,荃灣絲麗酒店,,871
屯門,兆山苑杏景閣,,872
中西區,寶德臺,,873
灣仔,灣仔帝盛酒店,,874
油尖旺,金堂大廈,,875
元朗,嘉湖山莊樂湖居4座,,876
離島,觀港樓,,878
觀塘,麗港城4座,,879
灣仔,Tagus Residences,,881
西貢,企壁山,,882
灣仔,藍塘別墅,,883
觀塘,彩德邨彩誠樓,,884
中西區,滿峯台B座,,885
東區,華美達盛景酒店,,886
屯門,錦發大廈,,887
九龍城,都會軒2座,,888
