Flight/Train/Ship number,Departure & arrival,Date of travel
Air China Flight CA8279,Wuhan to Shenzhen,19/01/2020
High Speed Rail G1013,Wuhan to Shenzhenbei,19/01/2020
High Speed Rail G6543,Shenzhenbei to Hong Kong,19/01/2020
Cathay Dragon KA853,Wuhan to Hong Kong,19/01/2020
Cathay Pacific Airways CX500,Hong Kong to Japan,19/01/2020
Cathay Dragon KA855,Wuhan to Hong Kong,20/01/2020
High Speed Rail G1015,Wuhan to Shenzhenbei,21/01/2020
High Speed Rail G5607,Shenzhenbei to Hong Kong,21/01/2020
Cathay Pacific Airways CX880,"Hong Kong to Los Angeles, the United States",21/01/2020
Cathay Pacific Airways CX408,Hong Kong to Taiwan,21/01/2020
High Speed Rail G1031,Xianning to Shenzhenbei,23/01/2020
High Speed Rail G407,Shenzhenbei to Hong Kong,23/01/2020
China Southern Airlines CZ3097,Guangzhou to Taipei,25/01/2020
Diamond Princess,"Yokohama, Japan to Hong Kong 20-25/01/2020",25/01/2020
Cathay Dragon KA694,"Hong Kong to Haikou, Hainan Province",27/01/2020
