District,Building name,Date of the last case staying in the building during the symptomatic phase
Shatin,"Tower 1, Lake Silver",23/01/2020
Tuen Mun,South Hillcrest,24/01/2020
Kwai Tsing,"Hong Mei House, Cheung Hong Estate",24/01/2020
Eastern,Universal Towers,25/01/2020
Sai Kung,"Tower 2, Tseung Kwan O Plaza",26/01/2020
Yau Tsim Mong,W Hong Kong,28/01/2020
Central,Four Seasons Hotel,28/01/2020
Yau Tsim Mong,Prudential Centre,29/01/2020
Yau Tsim Mong,"Tower 2, The Coronation",30/01/2020
Kwai Ching,"Luk Kwai House, Kwai Chung Estate",30/01/2020
Kwun Tong,"Yue Hong House, Hong Tin Court",04/02/2020
Kowloon City,"Block 1, Site 11, Whampoa Garden",01/02/2020
Yau Tsim Mong,"58 Nathan Road, Mirador Mansion",01/02/2020
Kowloon City,"15 Celestial Heights, 80 Sheung Shing Street",01/02/2020
Kwai Tsing,"Tower 1, Kowloon Commerce Centre ",01/02/2020
Kowloon City,183 Ma Tau Wai Road,03/02/2020
Kwai Tsing,"Block 1, Villa Esplanada",03/02/2020
Yau Tsim Mong,"Tower 2, Silvercord",04/02/2020
