地區,大廈名單,最後有個案在出現病徵期間逗留的日期,相關確診個案
沙田,銀湖天峰第一座,23/01/2020,"第4,5個案"
屯門,倚嶺南庭,24/01/2020,"第3,8個案"
葵青,長康邨康美樓,24/01/2020,第12個案
東區,宇宙閣,25/01/2020,第6個案
西貢區,將軍澳廣場第二座,26/01/2020,非本地個案
油尖旺區,香港 W 酒店,28/01/2020,"第9,10,11個案"
中區,四季酒店,28/01/2020,"第9,10,11個案"
油尖旺區,恒豐中心,29/01/2020,第16個案
油尖旺區,御金‧國峰第二座,30/01/2020,"第9,10,11個案"
葵青區,葵涌邨綠葵樓,30/01/2020,第14個案
九龍城區,黃埔花園第十一期一座,01/02/2020,"第13,15個案"
油尖旺區,彌敦道58號美麗都大廈,01/02/2020,非本地個案
九龍城區,常盛街80號半山壹號十五號,01/02/2020,第16個案
葵青,九龍貿易中心第一座,01/02/2020,第18個案
九龍城區,馬頭圍道183號,03/02/2020,第18個案
油尖旺區,新港中心第二座,04/02/2020,第19個案
觀塘,康田苑 裕康閣 ,04/02/2020,"第17,19,20個案"
葵青,灝景灣第一座,05/02/2020,"第21,22個案"
東區,筲箕灣道142-146號高望大樓,05/02/2020,第23個案
沙田,碩門邨第二期瑞碩樓,05/02/2020,第24個案
