No.,District,Name of Building,End Date of Home Quarantine
1,Central and Western,"Hang Yue Building, 334-350 Des Voeux Road West",07/02/2020
2,Central and Western,"Bic Wah Court, 464 Des Voeux Road West",07/02/2020
3,Central and Western,"Liang Ga Building, 296-302 Des Voeux Road West",07/02/2020
4,Central and Western,"New College, Jockey Club Student Village III, Hong Kong University",07/02/2020
5,Eastern,"Block C, Sunway Gardens",07/02/2020
6,Islands,"Ying Yuet House, Ying Tung Estate",07/02/2020
7,Kowloon City,"Fook Hing House, 44A Fuk Lo Tsun Road",07/02/2020
8,Kowloon City,"Good Rich Mansion, 7-8 Wa Fung Street",07/02/2020
9,Kowloon City,3A Waterloo Road,07/02/2020
10,Kwai Tsing,"Kwai Ching House, Kwai Fong Estate ",07/02/2020
11,Kwai Tsing,"Block 1, Kwai Chung Plaza",07/02/2020
12,Kwun Tong,"Tin Chi House, Shun Tin Estate",07/02/2020
13,Sai Kung,"Yee Yan House, Yee Ming Estate",07/02/2020
14,Sai Kung,"Tai Po Tsai Village, Clear Water Bay Road",07/02/2020
15,Sha Tin,"Tsun Chuen House, Shui Chuen O Estate",07/02/2020
16,Sha Tin,"Block K, Phase 4 Sunshine City",07/02/2020
17,Sha Tin,"Block 49, City One",07/02/2020
18,Sha Tin,"Chan Kwan Tung Inter-university Hall, The Chinese University of Hong Kong",07/02/2020
19,Southern,"Ngan On House , Yue On Court",07/02/2020
20,Wong Tai Sin,"Lai Yuen House, Chuk Yuen South Estate",07/02/2020
21,Wong Tai Sin,"Lung Yat House, Lower Wong Tai Sin Estate",07/02/2020
22,Yau Tsim Mong,"Tower 2, Eltanin Square Mile",07/02/2020
23,Yau Tsim Mong,"Lucky House, 18-24 Jordan Road",07/02/2020
24,Yau Tsim Mong,"Tower 1, Eltanin Square Mile",07/02/2020
25,Yau Tsim Mong,"iRent, 46-52 Portland Street",07/02/2020
26,Yuen Long,"Ngau Keng Tsuen, Kam Sheung Road",07/02/2020
27,Central and Western,"Block 1, Cayman Rise",08/02/2020
28,Central and Western,"Hall B, Jockey Club Student Village III,  The University of Hong Kong",08/02/2020
29,Eastern,"Block 6, Nan Fung Sun Chuen",08/02/2020
30,Eastern,"Tsui Luk House, Tsui Lok Estate",08/02/2020
31,Islands,"Sui Yat House, Yat Tung Estate",08/02/2020
32,Kowloon City,"Block 10, Cherry Mansions, Whampoa Garden (Site2)",08/02/2020
33,Kowloon City,"Block A, Fok Lin Building",08/02/2020
34,Kwai Tsing,"Fu Yin House, Tai Wo Hau Estate",08/02/2020
35,Kwai Tsing,"Tsing Yung House, Cheung Tsing Estate",08/02/2020
36,Kwun Tong,"Choi Wui House, Choi Hing Court",08/02/2020
37,Kwun Tong,"Chi Cheong Building, 2-4 Yee On Street",08/02/2020
38,Kwun Tong,"Ping Shing House, Ping Tin Estate",08/02/2020
39,Sai Kung,"Tower 5, Le Prestige of Lohas Park",08/02/2020
40,Sai Kung,Li Dak Sum Yip Yio Chin Kenneth Li Conference Lodge,08/02/2020
41,Sai Kung,"Ho Ming Court, 9 Kai King Road",08/02/2020
42,Sha Tin,"Hin Fu House, Hin Keng Estate",08/02/2020
43,Sha Tin,"Tower 3, Phase 3, Festival City",08/02/2020
44,Sham Shui Po,"Wing Chun House, Wing Cheong Estate",08/02/2020
45,Sham Shui Po,"Hoi Wo House, Hoi Lai Estate",08/02/2020
46,Tsuen Wan,"Tower West, Chelsea Court, 100 Yeung Uk Road",08/02/2020
47,Tsuen Wan,"Block 8, City Point",08/02/2020
48,Tuen Mun,"Block 4, Melody Garden",08/02/2020
49,Tuen Mun,"Block 10, Melody Garden",08/02/2020
50,Tuen Mun,Chung Uk Tsuen,08/02/2020
51,Tuen Mun,"Block 6, Pierhead Garden",08/02/2020
52,Wan Chai,"Block 2, Hoover Towers",08/02/2020
53,Wong Tai Sin,"Cheong Sin House, Upper Wong Tai Sin Estate",08/02/2020
54,Yau Tsim Mong,"Tower 2, Hampton place",08/02/2020
55,Yuen Long,"Fook Shun Building, 45-67 Ma Wang Road",08/02/2020
56,Yuen Long,"Block 4, Lynwood Court, Kingswood Villas (Phase 5)",08/02/2020
57,Yuen Long,"Block 10A, Phase 1A Park Vista",08/02/2020
58,Yuen Long,"Block 2, Sherwood Court, Kingswood Villas",08/02/2020
59,Central and Western,"Sang Cheong Building, 427-437 Queen's Road West",09/02/2020
60,Kowloon City,"Block C, Yue Sun Mansion, 181 Wuhu Street",09/02/2020
61,North,"Lane 7, Tai Yuen Tsuen, Sheung Shui Wai",09/02/2020
62,North,"Ching Chiu House, Ching Ho Estate",09/02/2020
63,Southern,"Lei Tim House, Ap Lei Chau Estate",09/02/2020
64,Tai Po,"Hing Wo House, Po Nga Court, Tai Wo Estate",09/02/2020
65,Tsuen Wan,"Fu Tak House, Tai Wo Hau Estate",09/02/2020
