編號,地區,大廈名稱,家居檢疫最後日期
1,中西區,加惠臺1座,08/02/2020
2,中西區,香港大學賽馬會第三學生村宿舍B棟,08/02/2020
3,東區,南豐新邨6座,08/02/2020
4,東區,翠樂邨翠祿樓,08/02/2020
5,離島區,逸東邨瑞逸樓,08/02/2020
6,九龍城區,黃埔花園第2期10座,08/02/2020
7,九龍城區,福年新樓A座,08/02/2020
8,九龍城區,香港城市大學學生宿舍8座,08/02/2020
9,葵青區,大窩口邨富賢樓,08/02/2020
10,葵青區,長青邨青榕樓,08/02/2020
11,葵青區,梨木樹村健樹樓,08/02/2020
12,觀塘區,彩興苑彩薈閣,08/02/2020
13,觀塘區,宜安街2-4號致昌大厦,08/02/2020
14,觀塘區,平田邨平誠樓,08/02/2020
15,觀塘區,樂華南邨奐華樓,08/02/2020
16,西貢區,日出康城5座,08/02/2020
17,西貢區,李達三葉耀珍伉儷李本俊會議大樓,08/02/2020
18,西貢區,佳景路9號浩明園,08/02/2020
19,沙田區,顯徑邨顯富樓,08/02/2020
20,沙田區,大圍名城3期3座,08/02/2020
21,深水埗區,榮昌邨榮俊樓,08/02/2020
22,深水埗區,海麗邨海和樓,08/02/2020
23,荃灣區,爵悅庭西爵軒,08/02/2020
24,荃灣區,環宇海灣 8 座,08/02/2020
25,屯門區,美樂花園4座,08/02/2020
26,屯門區,美樂花園 10座,08/02/2020
27,屯門區,鍾屋村,08/02/2020
28,屯門區,屯門海翠花園6座,08/02/2020
29,灣仔區,海華苑2期,08/02/2020
30,黃大仙區,黃大仙上邨昌善樓,08/02/2020
31,油尖旺區,凱帆軒2座,08/02/2020
32,元朗區,媽横路45-67號福順樓,08/02/2020
33,元朗區,嘉湖山莊麗湖居4座,08/02/2020
34,元朗區,峻巒1A期10A座,08/02/2020
35,元朗區,嘉湖山莊賞湖居 2 座,08/02/2020
36,元朗區,屏欣苑屏彥閣 B座,08/02/2020
37,中西區,皇后大道西427-437號生昌大厦,09/02/2020
38,九龍城區,蕪湖街181號裕新大廈C座,09/02/2020
39,北區,上水圍大元村7巷,09/02/2020
40,北區,清河村清照樓,09/02/2020
41,南區,鴨脷洲邨利添樓,09/02/2020
42,大埔區,太和邨寶雅苑興和閣,09/02/2020
43,荃灣區,大窩口邨富德樓,09/02/2020
44,油尖旺區,香港理工大學勵志堂,09/02/2020
45,油尖旺區,港景峰1座,09/02/2020
46,元朗區,水邊圍邨泉水樓,09/02/2020
47,元朗區,天富苑朗富閣,09/02/2020
48,元朗區,天慈村慈平樓,09/02/2020
49,元朗區,天富苑榮富閣,09/02/2020
50,北區,粉嶺中心A座,10/02/2020
51,沙田區,富豪花園富儷閣,10/02/2020
52,油尖旺區,弼街69號,10/02/2020
53,屯門區,新都大廈A座,11/02/2020
54,元朗區,朗屏邨悅屏樓,11/02/2020
55,深水埗區,汝洲街259號彩蘭樓,12/02/2020
56,屯門區,蝴蝶邨蝶翎樓,12/02/2020
57,觀塘區,平田邨平誠樓,13/02/2020
58,觀塘區,廣田邨廣靖樓,13/02/2020
59,北區,莆上村15號,13/02/2020
60,北區,牽晴間 11 座,13/02/2020
61,沙田區,銀禧花園5座,13/02/2020
62,沙田區,大圍名城 2 期 5 座,13/02/2020
63,深水埗區,福華街206號榮安大廈,13/02/2020
64,元朗區,嘉湖山莊賞湖居5座,13/02/2020
65,沙田區,沙田中心廣寧大廈,14/02/2020
66,黃大仙區,鳳德村碧鳳樓,16/02/2020
67,葵青區,葵涌大廈A座,18/02/2020
68,葵青區,灝景灣1座,19/02/2020
69,元朗區,蝶翠峰 3座,20/02/2020
