編號 No.,區 District,地址 Address,家居檢疫最後日期 End Date of Home Quarantine Order
1,中西區 Central & Western,"加多近山
CADOGAN",27/02/2020
2,中西區 Central & Western,"西摩道11號福澤花園A座
BLOCK A, THE FORTUNE GARDENS, NO.11 SEYMOUR ROAD",27/02/2020
3,中西區 Central & Western,"花園道55號愛都大廈3座
BLOCK 3, ESTORIL COURT, NO.55 GARDEN ROAD",27/02/2020
4,中西區 Central & Western,"皇后大道西355-359號
NO.355-359 QUEEN'S ROAD WEST",27/02/2020
5,中西區 Central & Western,"泰成大廈
TAI SHING BUILDING",27/02/2020
6,中西區 Central & Western,"高雲臺
GOLDWIN HEIGHTS",27/02/2020
7,中西區 Central & Western,"啟豐大廈
KAI FUNG MANSION",27/02/2020
8,中西區 Central & Western,"堅城中心
KENNEDY TOWN CENTRE",27/02/2020
9,中西區 Central & Western,"第三街208號毓明閣1座
BLOCK 1, YUK MING TOWERS, NO.208 THIRD STREET",27/02/2020
10,中西區 Central & Western,"德輔道西333號
NO.333 DES VOEUX ROAD WEST",27/02/2020
11,中西區 Central & Western,"德輔道西408A號
NO.408A DES VOEUX ROAD WEST",27/02/2020
12,中西區 Central & Western,"蔚然
AZURA",27/02/2020
13,中西區 Central & Western,"羅便臣道74號1座
BLOCK 1, NO.74 ROBINSON ROAD",27/02/2020
14,中西區 Central & Western,"BRANKSOME GRANDE
",28/02/2020
15,中西區 Central & Western,"CONDUIT 18
",28/02/2020
16,中西區 Central & Western,"加惠民道29號加惠臺1座
BLOCK 1, CAYMAN RISE, NO.29 KA WAI MAN ROAD",28/02/2020
17,中西區 Central & Western,"永成樓
WING SHING BUILDING",28/02/2020
18,中西區 Central & Western,"永樂街105號
NO.105 WING LOK STREET",28/02/2020
19,中西區 Central & Western,"先施西環大廈
SINCERE WESTERN HSE",28/02/2020
20,中西區 Central & Western,"利基閣
TOPWORTH COURT",28/02/2020
21,中西區 Central & Western,"卑路乍街48號
NO.48 BELCHER'S STREET",28/02/2020
22,中西區 Central & Western,"和益大廈
WO YICK MANSION",28/02/2020
23,中西區 Central & Western,"明興大廈
MING HING BUILDING",28/02/2020
24,中西區 Central & Western,"東利大樓
TUNG LEE MANSION",28/02/2020
25,中西區 Central & Western,"皇后大道西419號
NO.419 QUEEN'S ROAD WEST",28/02/2020
26,中西區 Central & Western,"皇后大道西489-499號美新樓
MEI SUN LAU, NO.489-499 QUEEN'S ROAD WEST",28/02/2020
27,中西區 Central & Western,"堅彌地城新海旁38號泓都1座
BLOCK 1, THE MERTON, NO.38 NEW PRAYA KENNEDY TOWN",28/02/2020
28,中西區 Central & Western,"祥暉大廈
CHEUNG FAI BUILDING",28/02/2020
29,中西區 Central & Western,"第二街108號
NO.108 SECOND STREET",28/02/2020
30,中西區 Central & Western,"第二街143號海昇大廈2座
BLOCK 2, HOI SING BUILDING, NO.143 SECOND STREET",28/02/2020
31,中西區 Central & Western,"荷李活道108號聚賢居2座
BLOCK 2, CENTRESTAGE, NO.108 HOLLYWOOD ROAD",28/02/2020
32,中西區 Central & Western,"結志街28-32號
NO.28-32 GAGE STREET",28/02/2020
33,中西區 Central & Western,"德輔道西343號均益大廈第二期A座
BLOCK A, PHASE II, KWAN YICK BUILDING, NO.343 DES VOEUX ROAD WEST",28/02/2020
34,中西區 Central & Western,"樂信大廈
ROCKSON MANSION",28/02/2020
35,中西區 Central & Western,"聯友新樓
LUEN YAU APARTMENTS",28/02/2020
36,中西區 Central & Western,"灣仔皇后大道東387號
387 QUEEN'S ROAD EAST, WAN CHAI",28/02/2020
37,中西區 Central & Western,"上環永樂街105-107號
105-107 WING LOK STREET, SHEUNG WAN",29/02/2020
38,中西區 Central & Western,"士美菲路43號美菲閣1座
BLOCK 1, SMITHFIELD COURT, NO.43 SMITHFIELD",29/02/2020
39,中西區 Central & Western,"干諾道西155號高樂花園
CONNAUGHT GARDEN, NO.155 CONNAUGHT ROAD WEST",29/02/2020
40,中西區 Central & Western,"天和樓
TEEN WO BUILDING",29/02/2020
41,中西區 Central & Western,"太生大廈
TAI SANG BUILDING",29/02/2020
42,中西區 Central & Western,"加惠民道29號加惠臺2座
BLOCK 2, CAYMAN RISE, NO.29 KA WAI MAN ROAD",29/02/2020
43,中西區 Central & Western,"北街4-8號五福大廈A座
BLOCK A, NEW FORTUNE HOUSE, NO.4-8 NORTH STREET",29/02/2020
44,中西區 Central & Western,"安景閣
FAIRVIEW COURT",29/02/2020
45,中西區 Central & Western,"百好大廈
PAK HOO MANSION",29/02/2020
46,中西區 Central & Western,"怡豐閣
YEE FUNG COURT",29/02/2020
47,中西區 Central & Western,"星鑽
THE NOVA",29/02/2020
48,中西區 Central & Western,"皇后大道西239號
NO. 239 QUEEN'S ROAD WEST",29/02/2020
49,中西區 Central & Western,"皇后大道西297號
NO.297 QUEEN'S ROAD WEST",29/02/2020
50,中西區 Central & Western,"美新大廈
MAY SUN BUILDING",29/02/2020
51,中西區 Central & Western,"海光大廈
BLOCK YOOFHILL, HAI KWANG MANSION",29/02/2020
52,中西區 Central & Western,"般咸道17號
NO.17 BONHAM ROAD",29/02/2020
53,中西區 Central & Western,"堅尼地城卑路乍街13號珍珠閣B座
BLK B, PEARL COURT, NO.13 BELCHER'S STREET, KENNEDY TOWN",29/02/2020
