更新日期,更新時間,個案總數,重症個案,死亡個案,仍在接受治療個案,治愈出院個案
11/01/2020,23:59,41,7,1,,
12/01/2020,23:59,41,6,1,,
13/01/2020,23:59,41,6,1,,
15/01/2020,23:59,41,5,2,,
16/01/2020,23:59,45,5,2,,
17/01/2020,23:59,62,8,2,,
19/01/2020,23:59,198,35,3,,
20/01/2020,23:59,258,51,6,,
21/01/2020,23:59,440,102,9,,
22/01/2020,23:59,571,95,17,,
23/01/2020,23:59,830,177,25,,
24/01/2020,23:59,1287,237,41,,
25/01/2020,23:59,1975,324,56,,
26/01/2020,23:59,2744,461,80,,
27/01/2020,23:59,4515,976,106,,
28/01/2020,23:59,5974,1239,132,,
29/01/2020,23:59,7711,1370,170,,
30/01/2020,23:59,9692,1527,213,,
31/01/2020,23:59,11791,1795,259,,
01/02/2020,23:59,14380,2110,304,,
02/02/2020,23:59,17205,2296,361,,
03/02/2020,23:59,20438,2788,425,,
04/02/2020,23:59,24324,3219,490,,
05/02/2020,23:59,28018,3859,563,,
06/02/2020,23:59,31161,4821,636,,
07/02/2020,23:59,34546,6101,722,,
08/02/2020,23:59,37198,6188,811,,
09/02/2020,23:59,40171,6484,908,,
10/02/2020,23:59,42638,7333,1016,,
11/02/2020,23:59,44653,8204,1113,,
12/02/2020,23:59,59804,8030,1367,,
13/02/2020,23:59,63851,10204,1380,,
14/02/2020,23:59,66492,11053,1523,,
15/02/2020,23:59,68500,11272,1665,,
16/02/2020,23:59,70548,10644,1770,,
17/02/2020,23:59,72436,11741,1868,,
18/02/2020,23:59,74185,11977,2004,,
19/02/2020,23:59,74576,11864,2118,,
20/02/2020,23:59,75465,11633,2236,,
21/02/2020,23:59,76288,11477,2345,,
22/02/2020,23:59,76936,10968,2442,,
23/02/2020,23:59,77150,9915,2592,49824,24734
24/02/2020,23:59,77658,9126,2663,47672,27323
25/02/2020,23:59,78064,8752,2715,45604,29745
26/02/2020,23:59,78497,8346,2744,43258,32495
27/02/2020,23:59,78824,7952,2788,39919,36117
