District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Kwun Tong,"Cambridge Building, 25-41 Hong Ning Road",17/2/2020,Case 62
Eastern,"Sui Moon House, Siu Sai Wan Estate",18/2/2020,"Case 64, 65"
Tuen Mun,"Block 1, Seaview Garden",18/2/2020,"Case 63, 66"
Kwun Tong,"Hiu Fai House, Hiu Lai Court",19/2/2020,Case 67
Yuen Long,"Shek Wu Wai, San Tin",19/2/2020,Case 68
Kwun Tong,"Yun Mei House, Yau Mei Court",20/2/2020,Case 69
Wan Chai,"Fly Dragon Terrace, 26-32 Tin Hau Temple Road",22/2/2020,Case 70
Eastern,"Chin Hing House, Hing Wah (II) Estate",22/2/2020,Case 73
Yuen Long ,"Block 3, Grand Yoho",22/2/2020,Case 75
Eastern,"Block B, Healthy Gardens",22/2/2020,Case 86
Eastern,Majestic Apartments,23/2/2020,Case 77
Southern,"Phase 1, The Redhill Peninsula",24/2/2020,"Case 76, 91"
Kwun Tong,"Choi Tin House, Hing Tin Estate",24/2/2020,"Case 72, 82"
Eastern,"Hong Fook Court, Bedford Gardens",24/2/2020,"Case 83, 84"
Wan Chai,"Block 4, Swiss Towers",25/2/2020,"Case 85, 90"
Eastern,"Maylun Apartments, 1-25 Shu Kuk Street",25/2/2020,"Case 74,89"
Wan Chai,"Jolly Villa, 8 Tai Hang Road",26/2/2020,Case 101
Sai Kung,"Block 4, Bauhinia Garden",27/2/2020,"Case 92, 95"
Eastern,Hung Fuk Building,27/2/2020,Case 93
Kwun Tong ,Hong Shui Court,29/2/2020,Case 98
Sham Shui Po,"Un Lok House, Un Chau Estate",29/2/2020,"Case 99, 100"
Tai Po,"Fortune Plaza Arcade, 4 On Chee Road (Non-residential)",17/2/2020,Case 68
Wan Chai ,World Trade Centre  (Non-residential),17/2/2020,Case 85
Eastern,"Coronet Court, 1-9A North Point Road (Non-residential)",18/2/2020,"Case 64, 65"
Tuen Mun,5 Sam Shing Street (Non-residential),18/2/2020,"Case 63, 66"
Central and Western,271-285 Des Voeux Road West (Non-residential),18/2/2020,Case 69
Wan Chai,310 Gloucester Road (Non-residential),18/2/2020,Case 85
Central and Western ,Man Mo Temple (Non-residential),19/2/2020,Case 85
Wan Chai,Hang Wai Commercial Building (Non-residential),19/2/2020,Case 85
Kwun Tong,Kwun Tong Community Health Centre (Non-residential),19/2/2020,Case 69
Eastern,Cheong Yuen Building (Non-residential),19/2/2020,Case 74
Central and Western,Yardley Commercial Building  (Non-residential),19/2/2020,Case 85
Kwun Tong ,Kwong Tin Shopping Centre (Non-residential),20/2/2020,Case 72
Yau Tsim Mong ,Mong Kok East station (Non-residential),20/2/2020,Case 82
Kwun Tong,Sceneway Plaza (Non-residential),22/2/2020,Case 82
Eastern,Ming Yuen Centre (Non-residential),22/2/2020,Case 83
Central and Western,JW Marriott Hotel (Non-residential),22/2/2020,"Case 85, 101"
Eastern,"Tower 1, Fleur Pavilia (Non-residential)",22/2/2020,Case 85
Wan Chai ,Jolly Villa  (Non-residential),22/2/2020,Case 85
Eastern,Chun Yeung Street Market  (Non-residential),22/2/2020,Case 86
Eastern,"Maylun Apartments, 1-25 Shu Kuk Street (Non-residential)",22/2/2020,"Case 65, 70, 73, 74, 76, 77, 83, 86, 92, 93, 98"
Wan Chai ,6 Cheong Ming Street (Non-residential),22/2/2020,Case 85
Wan Chai,Royal Hong Kong Yacht Club (Non-residential),23/2/2020,Case 85
Islands,23-27 Sok Kwu Wan First Street (Non-residential),23/2/2020,Case 85
Sai Kung,Bauhinia Garden (Non-residential),23/2/2020,Case 92
Central and Western,Crawford House (Non-residential),24/2/2020,"Case 85, 90"
Wan Chai,Hong Kong Sanatorium & Hospital (Non-residential),25/2/2020,"Case 76, 85, 91"
Eastern,Anne Black General Out-patient Clinic (Non-residential),26/2/2020,Case 93
Kwun Tong ,11 Mut Wah Street (Non-residential),26/2/2020,Case 98
