編號 No.,區 District,地址 Address,家居檢疫最後日期 End Date of Home Quarantine Order
1,中西區 Central & Western,"BRANKSOME GRANDE
",28/02/2020
2,中西區 Central & Western,"CONDUIT 18
",28/02/2020
3,中西區 Central & Western,"加惠民道29號加惠臺1座
BLOCK 1, CAYMAN RISE, NO.29 KA WAI MAN ROAD",28/02/2020
4,中西區 Central & Western,"永成樓
WING SHING BUILDING",28/02/2020
5,中西區 Central & Western,"永華大廈
WING WAH MANSION",28/02/2020
6,中西區 Central & Western,"永樂街105號
NO.105 WING LOK STREET",28/02/2020
7,中西區 Central & Western,"先施西環大廈
SINCERE WESTERN HSE",28/02/2020
8,中西區 Central & Western,"卑路乍街48號
NO.48 BELCHER'S STREET",28/02/2020
9,中西區 Central & Western,"和益大廈
WO YICK MANSION",28/02/2020
10,中西區 Central & Western,"明興大廈
MING HING BUILDING",28/02/2020
11,中西區 Central & Western,"東利大樓
TUNG LEE MANSION",28/02/2020
12,中西區 Central & Western,"皇后大道西419號
NO.419 QUEEN'S ROAD WEST",28/02/2020
13,中西區 Central & Western,"皇后大道西489-499號美新樓
MEI SUN LAU, NO.489-499 QUEEN'S ROAD WEST",28/02/2020
14,中西區 Central & Western,"爹核士街18號
NO.18 DAVIS STREET",28/02/2020
15,中西區 Central & Western,"祥暉大廈
CHEUNG FAI BUILDING",28/02/2020
16,中西區 Central & Western,"第二街108號
NO.108 SECOND STREET",28/02/2020
17,中西區 Central & Western,"第二街143號海昇大廈2座
BLOCK 2, HOI SING BUILDING, NO.143 SECOND STREET",28/02/2020
18,中西區 Central & Western,"荷李活道108號聚賢居2座
BLOCK 2, CENTRESTAGE, NO.108 HOLLYWOOD ROAD",28/02/2020
19,中西區 Central & Western,"結志街28-32號
NO.28-32 GAGE STREET",28/02/2020
20,中西區 Central & Western,"德輔道西343號均益大廈第二期A座
BLOCK A, PHASE II, KWAN YICK BUILDING, NO.343 DES VOEUX ROAD WEST",28/02/2020
21,中西區 Central & Western,"德輔道西406C號
NO.406C DES VOEUX ROAD WEST",28/02/2020
22,中西區 Central & Western,"德輔道西408D號
NO.408D DES VOEUX ROAD WEST",28/02/2020
23,中西區 Central & Western,"樂信大廈
ROCKSON MANSION",28/02/2020
24,中西區 Central & Western,"聯友新樓
LUEN YAU APARTMENTS",28/02/2020
25,中西區 Central & Western,"上環永樂街105-107號
105-107 WING LOK STREET, SHEUNG WAN",29/02/2020
26,中西區 Central & Western,"干諾道西155號高樂花園
CONNAUGHT GARDEN, NO.155 CONNAUGHT ROAD WEST",29/02/2020
27,中西區 Central & Western,"中環亞畢諾道2號
2 ARBUTHNOT ROAD, CENTRAL",29/02/2020
28,中西區 Central & Western,"天和樓
TEEN WO BUILDING",29/02/2020
29,中西區 Central & Western,"太生大廈
TAI SANG BUILDING",29/02/2020
30,中西區 Central & Western,"北街4-8號五福大廈A座
BLOCK A, NEW FORTUNE HOUSE, NO.4-8 NORTH STREET",29/02/2020
31,中西區 Central & Western,"永華大廈
WING WAH MANSION",29/02/2020
32,中西區 Central & Western,"安景閣
FAIRVIEW COURT",29/02/2020
33,中西區 Central & Western,"百好大廈
PAK HOO MANSION",29/02/2020
34,中西區 Central & Western,"怡豐閣
YEE FUNG COURT",29/02/2020
35,中西區 Central & Western,"星鑽
THE NOVA",29/02/2020
36,中西區 Central & Western,"皇后大道西239號
NO. 239 QUEEN'S ROAD WEST",29/02/2020
37,中西區 Central & Western,"皇后大道西338-342號
338-342 QUEEN'S ROAD WEST",29/02/2020
38,中西區 Central & Western,"美新大廈
MAY SUN BUILDING",29/02/2020
39,中西區 Central & Western,"海光大廈
BLOCK YOOFHILL, HAI KWANG MANSION",29/02/2020
40,中西區 Central & Western,"般咸道17號
NO.17 BONHAM ROAD",29/02/2020
41,中西區 Central & Western,"堅尼地城卑路乍街13號珍珠閣B座
BLK B, PEARL COURT, NO.13 BELCHER'S STREET, KENNEDY TOWN",29/02/2020
42,中西區 Central & Western,"第二街121號
NO.121 SECOND STREET",29/02/2020
43,中西區 Central & Western,"荷李活道174號
NO.174 HOLLYWOOD ROAD",29/02/2020
44,中西區 Central & Western,"順泰大廈
SHUN TAI BUILDING",29/02/2020
45,中西區 Central & Western,"新安大廈
SUN ON MANSION",29/02/2020
46,中西區 Central & Western,"新城大樓
SUN SHING BUILDING",29/02/2020
47,中西區 Central & Western,"新豐樓
SUN FUNG MANSION",29/02/2020
48,中西區 Central & Western,"德輔道西273號均益大廈第三期A座
BLOCK A, PHASE III, KWAN YICK BUILDING, NO.273 DES VOEUX ROAD WEST",29/02/2020
49,中西區 Central & Western,"德輔道西406C號
NO.406C DES VOEUX ROAD WEST",29/02/2020
50,中西區 Central & Western,"德輔道西408D號
NO.408D DES VOEUX ROAD WEST",29/02/2020
51,中西區 Central & Western,"德輔道西430號均益大廈第一期
PHASE I, KWAN YICK BUILDING, NO.430 DES VOEUX ROAD WEST",29/02/2020
52,中西區 Central & Western,"德輔道西442號美新樓A座
BLOCK A, MEI SUN LAU, NO.442 DES VOEUX ROAD WEST",29/02/2020
53,中西區 Central & Western,"德輔道西46-50號
NO.46-50 DES VOEUX RPAD WEST",29/02/2020
54,中西區 Central & Western,"樂怡軒
LOUIS HEIGHTS",29/02/2020
55,中西區 Central & Western,"餘慶大廈
YU HING MANSION",29/02/2020
56,中西區 Central & Western,"豐盛大廈
FUNG SING MANSION",29/02/2020
57,中西區 Central & Western,"豐逸大廈
FUNG YAT BUILDING",29/02/2020
58,中西區 Central & Western,"九如坊12號
NO.12 KAU U FONG",01/03/2020
59,中西區 Central & Western,"山道閣
HILL ROAD COURT",01/03/2020
60,中西區 Central & Western,"永興樓
WING HING HOUSE",01/03/2020
61,中西區 Central & Western,"伊利近街49號
NO.49 ELGIN STREET",01/03/2020
62,中西區 Central & Western,"安樂大樓前座
BLOCK FRONT, ON LOK MANSION",01/03/2020
63,中西區 Central & Western,"卑路乍街13號珍珠閣B座
BLOCK B, PEARL COURT, NO.13 BELCHER'S STREET",01/03/2020
64,中西區 Central & Western,"南生大廈
NAN SANG BUILDING",01/03/2020
65,中西區 Central & Western,"恒陞大樓
HANG SING MANSION",01/03/2020
66,中西區 Central & Western,"皇后大道西311-325號
311-324 QUEEN'S ROAD WEST",01/03/2020
67,中西區 Central & Western,"皇后大道西338號
NO.338 QUEEN'S ROAD WEST",01/03/2020
68,中西區 Central & Western,"美輪樓
MERLIN BUILDING",01/03/2020
69,中西區 Central & Western,"泰發大廈
TAI FAT BUILDING",01/03/2020
70,中西區 Central & Western,"真光大廈
TRUE LIGHT BUILDING",01/03/2020
71,中西區 Central & Western,"高街21號
NO.21 HIGH STREET",01/03/2020
72,中西區 Central & Western,"第一街116號
NO.116 FIRST STREET",01/03/2020
73,中西區 Central & Western,"華里3號
NO.3 WA LANE",01/03/2020
74,中西區 Central & Western,"新安大樓
SUN ON BUILDING",01/03/2020
75,中西區 Central & Western,"新街市街30號
NO.30 NEW MARKET STREET",01/03/2020
76,中西區 Central & Western,"僑發大廈
KIU FAT BUIDING",01/03/2020
77,中西區 Central & Western,"嘉輝花園A座
BLOCK A, SMITHFIELD TERRACE",01/03/2020
78,中西區 Central & Western,"榮基大廈
WING GA BUILDING",01/03/2020
79,中西區 Central & Western,"德輔道西394-400號華明中心C座
BLOCK C, WAH MING CENTRE, NO.394-400 DES VOEUX ROAD WEST",01/03/2020
80,中西區 Central & Western,"德輔道西406D號
NO.406D DES VOEUX ROAD WEST",01/03/2020
81,中西區 Central & Western,"醫院道8號
8 HOSPITAL ROAD",01/03/2020
82,中西區 Central & Western,"寶翠園2座
BLOCK 2, THE BELCHER'S",01/03/2020
83,中西區 Central & Western,"LEXINGTON HILL
",02/03/2020
84,中西區 Central & Western,"士美菲路71號嘉輝花園D座
BLOCK D, SMITHFIELD TERRACE, NO.71 SMITHFIELD",02/03/2020
85,中西區 Central & Western,"山道89號
NO.89 HILL ROAD",02/03/2020
86,中西區 Central & Western,"永華大廈
WING WAH MANSION",02/03/2020
87,中西區 Central & Western,"西祥街2號寶翠閣A座
BLOCK A, BELCHER COURT, NO.2 SAI CHEUNG STREET",02/03/2020
88,中西區 Central & Western,"良基大廈
LIANG GA BUILDING",02/03/2020
89,中西區 Central & Western,"卑路乍街68號
NO.68 BELCHER'S STREET",02/03/2020
90,中西區 Central & Western,"居仁閣
KUI YAN COURT",02/03/2020
91,中西區 Central & Western,"明德山
KING'S HILL",02/03/2020
92,中西區 Central & Western,"保基大廈
PO GA BUILDING",02/03/2020
93,中西區 Central & Western,"皇后大道中244號
NO.244 QUEEN'S ROAD CENTRAL",02/03/2020
94,中西區 Central & Western,"盈基花園寶龍閣(第一座)1座
BLOCK 1, PO LUNG COURT (TOWER 1), YING GA GARDEN",02/03/2020
95,中西區 Central & Western,"香港大學職工宿舍B座
BLOCK B, JUNIOR STAFF QUARTERS, THE UNIVERSITY OF HONG KONG",02/03/2020
96,中西區 Central & Western,"高雅閣
KO NGA COURT",02/03/2020
97,中西區 Central & Western,"荷李活大樓
HOLLYWOOD BUILDING",02/03/2020
98,中西區 Central & Western,"荷李活道165號
NO.165 HOLLYWOOD ROAD",02/03/2020
99,中西區 Central & Western,"雪廠街32-38號
32-38 ICE HOUSE STREET",02/03/2020
100,中西區 Central & Western,"華寶大廈
WAH PO BUILDING",02/03/2020
101,中西區 Central & Western,"奧卑利街17A號
17A OLD BAILEY STREET",02/03/2020
