航班/火車/船編號,起點及終點,乘搭日期,相關疑似/確診個案
鑽石公主號,日本橫濱→香港→日本橫濱,自20/01/2020,"第14,71,78,79,80,81,87,88,94,96,97個案及日本衞生當局通報的爆發"
的士,1.Grand Yoho第三座→博愛醫院  2.博愛醫院→Grand Yoho第三座,21/02/2020,第75個案
的士,天后廟道26-32號飛龍臺→東區尤德夫人那打素醫院,22/02/2020,第70個案
的士,書局街1-25號美輪大廈→東區尤德夫人那打素醫院,22/02/2020,第74個案
航班CX694,新德里→香港,24/02/2020,第105個案
的士,香港站→樂陶苑,24/02/2020,第105個案
航班CX250,倫敦→香港,28/2/2020(抵達香港),廣東省衛健委通報的個案
渡輪 3A109,海天客運碼頭→蛇口 ,28/02/2020,廣東省衛健委通報的個案
航班 CX250,倫敦→香港,29/02/2020,泰國衞生當局通報的個案
航班 CX617,香港→曼谷,29/02/2020,泰國衞生當局通報的個案
航班 CX838,香港→溫哥華,29/02/2020,第105個案接觸者追蹤
的士,1. 樂陶苑→鄧肇堅醫院  2. 威靈頓廣場→東華醫院,02/03/2020,第105個案
的士,1.樂陶苑→鄧肇堅醫院  2. 鄧肇堅醫院→樂陶苑,03/03/2020,第105個案
航班 BA0323,巴黎→倫敦,03/03/2020,第106個案
航班 BA27,倫敦→香港,04/03/2020,第106個案
