更新日期,更新時間,地區,個案數目,死亡個案
20/01/2020,23:59,深圳,1,
22/01/2020,23:59,廣州,5,
22/01/2020,23:59,深圳,15,
22/01/2020,23:59,珠海,4,
22/01/2020,23:59,佛山,1,
22/01/2020,23:59,韶關,2,
22/01/2020,23:59,惠州,1,
22/01/2020,23:59,中山,1,
22/01/2020,23:59,湛江,2,
22/01/2020,23:59,肇慶,1,
23/01/2020,23:59,廣州,7,
23/01/2020,23:59,深圳,15,
23/01/2020,23:59,珠海,8,
23/01/2020,23:59,佛山,6,
23/01/2020,23:59,韶關,3,
23/01/2020,23:59,惠州,5,
23/01/2020,23:59,中山,2,
23/01/2020,23:59,陽江,3,
23/01/2020,23:59,湛江,2,
23/01/2020,23:59,肇慶,1,
23/01/2020,23:59,清遠,1,
24/01/2020,23:59,廣州,14,
24/01/2020,23:59,深圳,20,
24/01/2020,23:59,珠海,10,
24/01/2020,23:59,汕頭,1,
24/01/2020,23:59,佛山,9,
24/01/2020,23:59,韶關,3,
24/01/2020,23:59,惠州,7,
24/01/2020,23:59,東莞,1,
24/01/2020,23:59,中山,2,
24/01/2020,23:59,陽江,5,
24/01/2020,23:59,湛江,2,
24/01/2020,23:59,肇慶,2,
24/01/2020,23:59,清遠,2,
25/01/2020,23:59,廣州,14,
25/01/2020,23:59,深圳,27,
25/01/2020,23:59,珠海,10,
25/01/2020,23:59,汕頭,2,
25/01/2020,23:59,佛山,10,
25/01/2020,23:59,韶關,3,
25/01/2020,23:59,惠州,8,
25/01/2020,23:59,東莞,2,
25/01/2020,23:59,中山,2,
25/01/2020,23:59,陽江,6,
25/01/2020,23:59,湛江,4,
25/01/2020,23:59,肇慶,4,
25/01/2020,23:59,清遠,3,
25/01/2020,23:59,揭陽,3,
26/01/2020,16:00,廣州,17,
26/01/2020,16:00,深圳,31,
26/01/2020,16:00,珠海,12,
26/01/2020,16:00,汕頭,2,
26/01/2020,16:00,佛山,10,
26/01/2020,16:00,韶關,4,
26/01/2020,16:00,梅州,1,
26/01/2020,16:00,惠州,8,
26/01/2020,16:00,東莞,2,
26/01/2020,16:00,中山,2,
26/01/2020,16:00,陽江,8,
26/01/2020,16:00,湛江,4,
26/01/2020,16:00,肇慶,4,
26/01/2020,16:00,清遠,3,
26/01/2020,16:00,揭陽,3,
26/01/2020,23:59,廣州,39,
26/01/2020,23:59,深圳,36,
26/01/2020,23:59,珠海,12,
26/01/2020,23:59,汕頭,2,
26/01/2020,23:59,佛山,14,
26/01/2020,23:59,韶關,4,
26/01/2020,23:59,梅州,1,
26/01/2020,23:59,惠州,8,
26/01/2020,23:59,汕尾,1,
26/01/2020,23:59,東莞,2,
26/01/2020,23:59,中山,4,
26/01/2020,23:59,陽江,8,
26/01/2020,23:59,湛江,5,
26/01/2020,23:59,肇慶,4,
26/01/2020,23:59,清遠,3,
26/01/2020,23:59,揭陽,3,
27/01/2020,12:00,廣州,41,
27/01/2020,12:00,深圳,36,
27/01/2020,12:00,珠海,12,
27/01/2020,12:00,汕頭,2,
27/01/2020,12:00,佛山,14,
27/01/2020,12:00,韶關,4,
27/01/2020,12:00,梅州,3,
27/01/2020,12:00,惠州,8,
27/01/2020,12:00,汕尾,1,
27/01/2020,12:00,東莞,2,
27/01/2020,12:00,中山,5,
27/01/2020,12:00,陽江,8,
27/01/2020,12:00,湛江,5,
27/01/2020,12:00,肇慶,4,
27/01/2020,12:00,清遠,3,
27/01/2020,12:00,揭陽,3,
27/01/2020,23:59,廣州,51,
27/01/2020,23:59,深圳,49,
27/01/2020,23:59,珠海,12,
27/01/2020,23:59,汕頭,5,
27/01/2020,23:59,佛山,18,
27/01/2020,23:59,韶關,4,
27/01/2020,23:59,梅州,3,
27/01/2020,23:59,惠州,11,
27/01/2020,23:59,汕尾,1,
27/01/2020,23:59,東莞,2,
27/01/2020,23:59,中山,6,
27/01/2020,23:59,陽江,8,
27/01/2020,23:59,湛江,5,
27/01/2020,23:59,肇慶,4,
27/01/2020,23:59,清遠,5,
27/01/2020,23:59,揭陽,4,
28/01/2020,12:00,廣州,51,
28/01/2020,12:00,深圳,57,
28/01/2020,12:00,珠海,12,
28/01/2020,12:00,汕頭,5,
28/01/2020,12:00,佛山,18,
28/01/2020,12:00,韶關,4,
28/01/2020,12:00,梅州,4,
28/01/2020,12:00,惠州,11,
28/01/2020,12:00,汕尾,1,
28/01/2020,12:00,東莞,7,
28/01/2020,12:00,中山,6,
28/01/2020,12:00,陽江,9,
28/01/2020,12:00,湛江,7,
28/01/2020,12:00,肇慶,4,
28/01/2020,12:00,清遠,6,
28/01/2020,12:00,揭陽,4,
28/01/2020,12:00,河源,1,
28/01/2020,23:59,廣州,51,
28/01/2020,23:59,深圳,57,
28/01/2020,23:59,珠海,12,
28/01/2020,23:59,汕頭,5,
28/01/2020,23:59,佛山,18,
28/01/2020,23:59,韶關,4,
28/01/2020,23:59,梅州,4,
28/01/2020,23:59,惠州,11,
28/01/2020,23:59,汕尾,1,
28/01/2020,23:59,東莞,7,
28/01/2020,23:59,中山,6,
28/01/2020,23:59,陽江,9,
28/01/2020,23:59,湛江,7,
28/01/2020,23:59,肇慶,4,
28/01/2020,23:59,清遠,6,
28/01/2020,23:59,揭陽,4,
28/01/2020,23:59,河源,1,
29/01/2020,12:00,廣州,63,
29/01/2020,12:00,深圳,80,
29/01/2020,12:00,珠海,18,
29/01/2020,12:00,汕頭,8,
29/01/2020,12:00,佛山,21,
29/01/2020,12:00,韶關,4,
29/01/2020,12:00,梅州,4,
29/01/2020,12:00,惠州,12,
29/01/2020,12:00,汕尾,1,
29/01/2020,12:00,東莞,7,
29/01/2020,12:00,中山,13,
29/01/2020,12:00,陽江,10,
29/01/2020,12:00,湛江,9,
29/01/2020,12:00,肇慶,5,
29/01/2020,12:00,清遠,6,
29/01/2020,12:00,揭陽,6,
29/01/2020,12:00,河源,1,
29/01/2020,12:00,江門,1,
29/01/2020,12:00,茂名,3,
29/01/2020,23:59,廣州,63,
29/01/2020,23:59,深圳,80,
29/01/2020,23:59,珠海,18,
29/01/2020,23:59,汕頭,8,
29/01/2020,23:59,佛山,21,
29/01/2020,23:59,韶關,4,
29/01/2020,23:59,梅州,4,
29/01/2020,23:59,惠州,12,
29/01/2020,23:59,汕尾,1,
29/01/2020,23:59,東莞,7,
29/01/2020,23:59,中山,13,
29/01/2020,23:59,陽江,10,
29/01/2020,23:59,湛江,9,
29/01/2020,23:59,肇慶,5,
29/01/2020,23:59,清遠,6,
29/01/2020,23:59,揭陽,6,
29/01/2020,23:59,河源,1,
29/01/2020,23:59,江門,1,
29/01/2020,23:59,茂名,3,
30/01/2020,12:00,廣州,94,
30/01/2020,12:00,深圳,98,
30/01/2020,12:00,珠海,26,
30/01/2020,12:00,汕頭,12,
30/01/2020,12:00,佛山,25,
30/01/2020,12:00,韶關,4,
30/01/2020,12:00,梅州,5,
30/01/2020,12:00,惠州,17,
30/01/2020,12:00,汕尾,1,
30/01/2020,12:00,東莞,11,
30/01/2020,12:00,中山,18,
30/01/2020,12:00,陽江,10,
30/01/2020,12:00,湛江,11,
30/01/2020,12:00,肇慶,5,
30/01/2020,12:00,清遠,6,
30/01/2020,12:00,揭陽,6,
30/01/2020,12:00,河源,1,
30/01/2020,12:00,江門,1,
30/01/2020,12:00,茂名,3,
30/01/2020,23:59,廣州,106,
30/01/2020,23:59,深圳,110,
30/01/2020,23:59,珠海,26,
30/01/2020,23:59,汕頭,12,
30/01/2020,23:59,佛山,32,
30/01/2020,23:59,韶關,4,
30/01/2020,23:59,梅州,5,
30/01/2020,23:59,惠州,17,
30/01/2020,23:59,汕尾,3,
30/01/2020,23:59,東莞,16,
30/01/2020,23:59,中山,18,
30/01/2020,23:59,陽江,10,
30/01/2020,23:59,湛江,11,
30/01/2020,23:59,肇慶,6,
30/01/2020,23:59,清遠,6,
30/01/2020,23:59,揭陽,6,
30/01/2020,23:59,河源,1,
30/01/2020,23:59,江門,1,
30/01/2020,23:59,茂名,3,
31/01/2020,12:00,廣州,112,
31/01/2020,12:00,深圳,134,
31/01/2020,12:00,珠海,34,
31/01/2020,12:00,汕頭,12,
31/01/2020,12:00,佛山,33,
31/01/2020,12:00,韶關,4,
31/01/2020,12:00,梅州,5,
31/01/2020,12:00,惠州,20,
31/01/2020,12:00,汕尾,3,
31/01/2020,12:00,東莞,16,
31/01/2020,12:00,中山,18,
31/01/2020,12:00,陽江,10,
31/01/2020,12:00,湛江,11,
31/01/2020,12:00,肇慶,6,
31/01/2020,12:00,清遠,6,
31/01/2020,12:00,揭陽,6,
31/01/2020,12:00,河源,1,
31/01/2020,12:00,江門,2,
31/01/2020,12:00,茂名,3,
31/01/2020,23:59,廣州,137,
31/01/2020,23:59,深圳,170,
31/01/2020,23:59,珠海,38,
31/01/2020,23:59,汕頭,14,
31/01/2020,23:59,佛山,38,
31/01/2020,23:59,韶關,4,
31/01/2020,23:59,梅州,5,
31/01/2020,23:59,惠州,20,
31/01/2020,23:59,汕尾,4,
31/01/2020,23:59,東莞,21,
31/01/2020,23:59,中山,18,
31/01/2020,23:59,陽江,10,
31/01/2020,23:59,湛江,13,
31/01/2020,23:59,肇慶,6,
