As of date,As of time,Areas,Number of cases,Number of deaths
20/01/2020,23:59,Shenzhen,1,
22/01/2020,23:59,Guangzhou,5,
22/01/2020,23:59,Shenzhen,15,
22/01/2020,23:59,Zhuhai,4,
22/01/2020,23:59,Foshan,1,
22/01/2020,23:59,Shaoguan,2,
22/01/2020,23:59,Huizhou,1,
22/01/2020,23:59,Zhongshan,1,
22/01/2020,23:59,Zhanjiang,2,
22/01/2020,23:59,Zhaoqing,1,
23/01/2020,23:59,Guangzhou,7,
23/01/2020,23:59,Shenzhen,15,
23/01/2020,23:59,Zhuhai,8,
23/01/2020,23:59,Foshan,6,
23/01/2020,23:59,Shaoguan,3,
23/01/2020,23:59,Huizhou,5,
23/01/2020,23:59,Zhongshan,2,
23/01/2020,23:59,Yangjiang,3,
23/01/2020,23:59,Zhanjiang,2,
23/01/2020,23:59,Zhaoqing,1,
23/01/2020,23:59,Qingyuan,1,
24/01/2020,23:59,Guangzhou,14,
24/01/2020,23:59,Shenzhen,20,
24/01/2020,23:59,Zhuhai,10,
24/01/2020,23:59,Shantou,1,
24/01/2020,23:59,Foshan,9,
24/01/2020,23:59,Shaoguan,3,
24/01/2020,23:59,Huizhou,7,
24/01/2020,23:59,Dongguan,1,
24/01/2020,23:59,Zhongshan,2,
24/01/2020,23:59,Yangjiang,5,
24/01/2020,23:59,Zhanjiang,2,
24/01/2020,23:59,Zhaoqing,2,
24/01/2020,23:59,Qingyuan,2,
25/01/2020,23:59,Guangzhou,14,
25/01/2020,23:59,Shenzhen,27,
25/01/2020,23:59,Zhuhai,10,
25/01/2020,23:59,Shantou,2,
25/01/2020,23:59,Foshan,10,
25/01/2020,23:59,Shaoguan,3,
25/01/2020,23:59,Huizhou,8,
25/01/2020,23:59,Dongguan,2,
25/01/2020,23:59,Zhongshan,2,
25/01/2020,23:59,Yangjiang,6,
25/01/2020,23:59,Zhanjiang,4,
25/01/2020,23:59,Zhaoqing,4,
25/01/2020,23:59,Qingyuan,3,
25/01/2020,23:59,Jieyang,3,
26/01/2020,16:00,Guangzhou,17,
26/01/2020,16:00,Shenzhen,31,
26/01/2020,16:00,Zhuhai,12,
26/01/2020,16:00,Shantou,2,
26/01/2020,16:00,Foshan,10,
26/01/2020,16:00,Shaoguan,4,
26/01/2020,16:00,Meizhou,1,
26/01/2020,16:00,Huizhou,8,
26/01/2020,16:00,Dongguan,2,
26/01/2020,16:00,Zhongshan,2,
26/01/2020,16:00,Yangjiang,8,
26/01/2020,16:00,Zhanjiang,4,
26/01/2020,16:00,Zhaoqing,4,
26/01/2020,16:00,Qingyuan,3,
26/01/2020,16:00,Jieyang,3,
26/01/2020,23:59,Guangzhou,39,
26/01/2020,23:59,Shenzhen,36,
26/01/2020,23:59,Zhuhai,12,
26/01/2020,23:59,Shantou,2,
26/01/2020,23:59,Foshan,14,
26/01/2020,23:59,Shaoguan,4,
26/01/2020,23:59,Meizhou,1,
26/01/2020,23:59,Huizhou,8,
26/01/2020,23:59,Shanwei,1,
26/01/2020,23:59,Dongguan,2,
26/01/2020,23:59,Zhongshan,4,
26/01/2020,23:59,Yangjiang,8,
26/01/2020,23:59,Zhanjiang,5,
26/01/2020,23:59,Zhaoqing,4,
26/01/2020,23:59,Qingyuan,3,
26/01/2020,23:59,Jieyang,3,
27/01/2020,12:00,Guangzhou,41,
27/01/2020,12:00,Shenzhen,36,
27/01/2020,12:00,Zhuhai,12,
27/01/2020,12:00,Shantou,2,
27/01/2020,12:00,Foshan,14,
27/01/2020,12:00,Shaoguan,4,
27/01/2020,12:00,Meizhou,3,
27/01/2020,12:00,Huizhou,8,
27/01/2020,12:00,Shanwei,1,
27/01/2020,12:00,Dongguan,2,
27/01/2020,12:00,Zhongshan,5,
27/01/2020,12:00,Yangjiang,8,
27/01/2020,12:00,Zhanjiang,5,
27/01/2020,12:00,Zhaoqing,4,
27/01/2020,12:00,Qingyuan,3,
27/01/2020,12:00,Jieyang,3,
27/01/2020,23:59,Guangzhou,51,
27/01/2020,23:59,Shenzhen,49,
