更新日期,更新時間,個案總數,重症個案,死亡個案,仍在接受治療個案,治愈出院個案
11/01/2020,23:59,41,7,1,,
12/01/2020,23:59,41,6,1,,
13/01/2020,23:59,41,6,1,,
15/01/2020,23:59,41,5,2,,
16/01/2020,23:59,45,5,2,,
17/01/2020,23:59,62,8,2,,
19/01/2020,23:59,198,35,3,,
20/01/2020,23:59,258,51,6,,
21/01/2020,23:59,440,102,9,,
22/01/2020,23:59,571,95,17,,
23/01/2020,23:59,830,177,25,,
24/01/2020,23:59,1287,237,41,,
25/01/2020,23:59,1975,324,56,,
26/01/2020,23:59,2744,461,80,,
27/01/2020,23:59,4515,976,106,,
28/01/2020,23:59,5974,1239,132,,
29/01/2020,23:59,7711,1370,170,,
30/01/2020,23:59,9692,1527,213,,
31/01/2020,23:59,11791,1795,259,,
01/02/2020,23:59,14380,2110,304,,
02/02/2020,23:59,17205,2296,361,,
03/02/2020,23:59,20438,2788,425,,
04/02/2020,23:59,24324,3219,490,,
05/02/2020,23:59,28018,3859,563,,
06/02/2020,23:59,31161,4821,636,,
07/02/2020,23:59,34546,6101,722,,
08/02/2020,23:59,37198,6188,811,,
09/02/2020,23:59,40171,6484,908,,
10/02/2020,23:59,42638,7333,1016,,
11/02/2020,23:59,44653,8204,1113,,
12/02/2020,23:59,59804,8030,1367,,
13/02/2020,23:59,63851,10204,1380,,
14/02/2020,23:59,66492,11053,1523,,
15/02/2020,23:59,68500,11272,1665,,
16/02/2020,23:59,70548,10644,1770,,
17/02/2020,23:59,72436,11741,1868,,
18/02/2020,23:59,74185,11977,2004,,
19/02/2020,23:59,74576,11864,2118,,
20/02/2020,23:59,75465,11633,2236,,
21/02/2020,23:59,76288,11477,2345,,
22/02/2020,23:59,76936,10968,2442,,
23/02/2020,23:59,77150,9915,2592,49824,24734
24/02/2020,23:59,77658,9126,2663,47672,27323
25/02/2020,23:59,78064,8752,2715,45604,29745
26/02/2020,23:59,78497,8346,2744,43258,32495
27/02/2020,23:59,78824,7952,2788,39919,36117
28/02/2020,23:59,79251,7664,2835,37414,39002
29/02/2020,23:59,79824,7365,2870,35329,41625
01/03/2020,23:59,80026,7110,2912,32652,44462
02/03/2020,23:59,80151,6806,2943,30004,47204
03/03/2020,23:59,80270,6416,2981,27433,49856
04/03/2020,23:59,80409,5952,3012,25352,52045
05/03/2020,23:59,80552,5737,3042,23784,53726
06/03/2020,23:59,80651,5489,3070,22177,55404
07/03/2020,23:59,80695,5264,3097,20533,57065
08/03/2020,23:59,80735,5111,3119,19016,58600
09/03/2020,23:59,80754,4794,3136,17721,59897
10/03/2020,23:59,80778,4492,3158,16145,61475
11/03/2020,23:59,80793,4257,3169,14831,62793
12/03/2020,23:59,80813,4020,3176,13526,64111
13/03/2020,23:59,80824,3610,3189,12094,65541
