地區,大廈名單,最後個案居住日期,相關疑似/確診個案
灣仔,樂陶苑C座,5/3/2020,第105及108個案
中西區,寶城大廈A座,5/3/2020,第106及116個案
南區,美景徑美景臺,5/3/2020,第107個案
南區,碧瑤灣第31座,5/3/2020,第111個案
灣仔,瑞士花園第1座,6/3/2020,第110個案
中西區,德輔道西 341 號,6/3/2020,第116個案
灣仔,安慧苑,7/3/2020,第114個案
元朗,原築第1座,7/3/2020,第115個案
南區,碧瑤灣第28座,9/3/2020,加拿大衞生當局通報的個案及第117、118個案
屯門,兆禧苑安禧閣,10/3/2020,第120及121個案
沙田,廣林苑茂林閣,10/3/2020,第122個案
荃灣,碧堤半島第7座,10/3/2020,第123及129個案
觀塘,德福花園T座,10/3/2020,第125個案
觀塘,麗港城2期第26座,10/3/2020,第126及127個案
西貢,怡明邨 怡情樓,10/3/2020,第58及128個案
葵青,iPlace,12/3/2020,"第130,131,133及138個案"
中西區,西寧街35號西寧閣,12/3/2020,第132個案
大埔,林村梧桐寨,13/3/2020,第134個案
中西區,順景雅庭,13/3/2020,第135個案
南區,赤柱大街18號,13/3/2020,第136個案
灣仔,春暉道5號大坑台A座,13/3/2020,第137個案
東區 ,港利中心,13/3/2020,第139個案
大埔,富亨邨亨泰樓,13/3/2020,"第119,124及140個案"
西貢,清水灣道684號,13/3/2020,第141個案
葵青,宏福花園,13/3/2020,第142個案
北區,華明邨禮明樓,14/3/2020,第143個案
西貢,海逸居,14/3/2020,第145個案
東區,堡壘街25-27號堡壘大樓,14/3/2020,第146個案
中西區,加列山道65號嘉麗園,14/3/2020,第147及148個案
南區,華富(二)邨華昌樓,15/3/2020,第149個案
油尖旺,唯港薈,15/3/2020,第150個案
油尖旺,重慶大廈A座,15/3/2020,第151個案
屯門,海典軒1座,15/3/2020,第152個案
沙田,曉翠山莊10座,15/3/2020,第153個案
九龍城,鶴齡街8號,15/3/2020,第154個案
黃大仙,龍蟠苑龍珠閣,15/3/2020,第155個案
中西區,港島香格里拉大酒店,15/3/2020,第156個案
大埔,逸瓏灣16座,16/3/2020,第157及158個案
南區,紅山半島,16/3/2020,第160個案
屯門,屯門市廣場 4座,16/3/2020,第161個案
中西區,薄扶林道86號嘉瑜園,16/3/2020,第163個案
油尖旺,御金‧國峯7座,17/3/2020,第162個案
黃大仙,彩輝邨彩華樓,17/3/2020,第167個案
灣仔,尚翹峰2座,17/3/2020,第168個案
東區,香港維港凱悅尚萃酒店,17/3/2020,第169個案
東區,藍灣半島2座,17/3/2020,第170個案
沙田,富寶花園第8座,17/3/2020,第171個案
沙田,香港體育學院運動員宿舍,17/3/2020,第172個案
黄大仙,慈愛苑愛慧閣,17/3/2020,第173個案
油尖旺,凱帆軒3座,17/3/2020,第174個案
觀塘,油麗邨盈麗樓,17/3/2020,第175及176個案
中西區,四方街26號豪景台,17/3/2020,第177及178個案
中西區,地利根德里3A號,17/3/2020,第180個案
灣仔,金櫻閣,17/3/2020,第181個案
中西區,羅便臣道60號信怡閣,17/3/2020,第183個案
南區,碧瑤灣47座,17/3/2020,第184個案
灣仔,景光街5號景祥大樓,17/3/2020,第185個案
