更新日期,更新時間,其他國家/地區,個案/確診個案數目,確診個案中的死亡個案,備註
14/01/2020,18:00,泰國,1,,
15/01/2020,18:00,泰國,1,,
16/01/2020,18:00,泰國,1,,
16/01/2020,18:00,日本,1,,
17/01/2020,18:00,泰國,2,,
17/01/2020,18:00,日本,1,,
18/01/2020,18:00,泰國,2,,
18/01/2020,18:00,日本,1,,
19/01/2020,18:00,泰國,2,,
19/01/2020,18:00,日本,1,,
20/01/2020,18:00,泰國,2,,
20/01/2020,18:00,日本,1,,
20/01/2020,18:00,韓國,1,,
21/01/2020,18:00,台灣,1,,
21/01/2020,18:00,泰國,2,,
21/01/2020,18:00,日本,1,,
21/01/2020,18:00,韓國,1,,
21/01/2020,18:00,美國,1,,
22/01/2020,18:00,澳門特別行政區,1,,
22/01/2020,18:00,台灣,1,,
22/01/2020,18:00,日本,1,,
22/01/2020,18:00,韓國,1,,
22/01/2020,18:00,泰國,3,,
22/01/2020,18:00,美國,1,,
23/01/2020,18:00,澳門特別行政區,2,,
23/01/2020,18:00,台灣,1,,
23/01/2020,18:00,日本,1,,
23/01/2020,18:00,韓國,1,,
23/01/2020,18:00,泰國,3,,
23/01/2020,18:00,美國,1,,
24/01/2020,9:00,香港特別行政區,2,,
24/01/2020,9:00,澳門特別行政區,2,,
24/01/2020,9:00,台灣,1,,
24/01/2020,9:00,日本,2,,
24/01/2020,9:00,韓國,1,,
24/01/2020,9:00,泰國,4,,
24/01/2020,9:00,新加坡,1,,
24/01/2020,9:00,越南,2,,
24/01/2020,18:00,美國,1,,
24/01/2020,18:00,香港特別行政區,2,,
24/01/2020,18:00,澳門特別行政區,2,,
24/01/2020,18:00,台灣,1,,
24/01/2020,18:00,日本,2,,
24/01/2020,18:00,韓國,2,,
24/01/2020,18:00,泰國,4,,
24/01/2020,18:00,新加坡,3,,
24/01/2020,18:00,越南,2,,
24/01/2020,18:00,美國,1,,
25/01/2020,18:00,香港特別行政區,5,,
25/01/2020,18:00,澳門特別行政區,2,,
25/01/2020,18:00,台灣,3,,
25/01/2020,18:00,日本,3,,
25/01/2020,18:00,韓國,2,,
25/01/2020,18:00,泰國,5,,
25/01/2020,18:00,新加坡,3,,
25/01/2020,18:00,越南,2,,
25/01/2020,18:00,尼泊爾,1,,
25/01/2020,18:00,馬來西亞,3,,
25/01/2020,18:00,美國,2,,
25/01/2020,18:00,澳洲,1,,
25/01/2020,18:00,法國,3,,
26/01/2020,18:00,香港特別行政區,6,,
26/01/2020,18:00,澳門特別行政區,5,,
26/01/2020,18:00,台灣,3,,
26/01/2020,18:00,日本,3,,
26/01/2020,18:00,韓國,3,,
26/01/2020,18:00,泰國,5,,
26/01/2020,18:00,新加坡,4,,
26/01/2020,18:00,越南,2,,
26/01/2020,18:00,尼泊爾,1,,
26/01/2020,18:00,馬來西亞,3,,
26/01/2020,18:00,美國,2,,
26/01/2020,18:00,澳洲,4,,
26/01/2020,18:00,法國,3,,
27/01/2020,9:00,香港特別行政區,8,,
27/01/2020,9:00,澳門特別行政區,6,,
27/01/2020,9:00,台灣,4,,
27/01/2020,9:00,日本,4,,
27/01/2020,9:00,韓國,3,,
27/01/2020,9:00,泰國,5,,
27/01/2020,9:00,新加坡,4,,
27/01/2020,9:00,越南,2,,
27/01/2020,9:00,尼泊爾,1,,
27/01/2020,9:00,馬來西亞,3,,
27/01/2020,9:00,美國,5,,
27/01/2020,9:00,澳洲,4,,
27/01/2020,9:00,法國,3,,
27/01/2020,9:00,加拿大,1,,
27/01/2020,18:00,香港特別行政區,8,,
27/01/2020,18:00,澳門特別行政區,6,,
27/01/2020,18:00,台灣,5,,
27/01/2020,18:00,日本,4,,
27/01/2020,18:00,韓國,3,,
27/01/2020,18:00,泰國,5,,
27/01/2020,18:00,新加坡,4,,
27/01/2020,18:00,越南,2,,
27/01/2020,18:00,尼泊爾,1,,
27/01/2020,18:00,馬來西亞,3,,
27/01/2020,18:00,美國,5,,
27/01/2020,18:00,澳洲,4,,
27/01/2020,18:00,法國,3,,
27/01/2020,18:00,加拿大,1,,
28/01/2020,10:00,香港特別行政區,8,,
28/01/2020,10:00,澳門特別行政區,7,,
28/01/2020,10:00,台灣,5,,
28/01/2020,10:00,日本,4,,
28/01/2020,10:00,韓國,4,,
28/01/2020,10:00,泰國,8,,
28/01/2020,10:00,新加坡,5,,
28/01/2020,10:00,越南,2,,
28/01/2020,10:00,尼泊爾,1,,
28/01/2020,10:00,馬來西亞,4,,
28/01/2020,10:00,美國,5,,
28/01/2020,10:00,澳洲,5,,
28/01/2020,10:00,法國,3,,
28/01/2020,10:00,加拿大,2,,
28/01/2020,10:00,德國,1,,
28/01/2020,10:00,斯里蘭卡,1,,
28/01/2020,18:00,香港特別行政區,8,,
28/01/2020,18:00,澳門特別行政區,7,,
28/01/2020,18:00,台灣,7,,
28/01/2020,18:00,日本,6,,
28/01/2020,18:00,韓國,4,,
28/01/2020,18:00,泰國,14,,
28/01/2020,18:00,新加坡,5,,
28/01/2020,18:00,越南,2,,
28/01/2020,18:00,尼泊爾,1,,
28/01/2020,18:00,馬來西亞,4,,
28/01/2020,18:00,美國,5,,
28/01/2020,18:00,澳洲,5,,
28/01/2020,18:00,法國,3,,
28/01/2020,18:00,加拿大,2,,
28/01/2020,18:00,德國,1,,
28/01/2020,18:00,斯里蘭卡,1,,
28/01/2020,18:00,柬埔寨,1,,
29/01/2020,9:00,香港特別行政區,8,,
29/01/2020,9:00,澳門特別行政區,7,,
29/01/2020,9:00,台灣,8,,
29/01/2020,9:00,日本,7,,
29/01/2020,9:00,韓國,4,,
29/01/2020,9:00,泰國,14,,
29/01/2020,9:00,新加坡,7,,
29/01/2020,9:00,越南,2,,
29/01/2020,9:00,尼泊爾,1,,
29/01/2020,9:00,馬來西亞,7,,
29/01/2020,9:00,美國,5,,
29/01/2020,9:00,澳洲,5,,
29/01/2020,9:00,法國,3,,
29/01/2020,9:00,加拿大,2,,
29/01/2020,9:00,德國,4,,
29/01/2020,9:00,斯里蘭卡,1,,
29/01/2020,9:00,柬埔寨,1,,
29/01/2020,18:00,香港特別行政區,10,,
29/01/2020,18:00,澳門特別行政區,7,,
29/01/2020,18:00,台灣,8,,
29/01/2020,18:00,日本,7,,
29/01/2020,18:00,韓國,4,,
29/01/2020,18:00,泰國,14,,
29/01/2020,18:00,新加坡,7,,
29/01/2020,18:00,越南,2,,
29/01/2020,18:00,尼泊爾,1,,
29/01/2020,18:00,馬來西亞,7,,
29/01/2020,18:00,美國,5,,
29/01/2020,18:00,澳洲,6,,
29/01/2020,18:00,法國,4,,
29/01/2020,18:00,加拿大,3,,
29/01/2020,18:00,德國,4,,
29/01/2020,18:00,斯里蘭卡,1,,
29/01/2020,18:00,柬埔寨,1,,
