Country,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
Afghanistan,-38%,-21%,-13%,-34%,-33%,+10%
Angola,-61%,-40%,-39%,-57%,-11%,+22%
Antigua and Barbuda,-46%,-21%,-30%,-67%,-48%,"*
+17%"
Argentina,-86%,-61%,-89%,-80%,-57%,+27%
Aruba,-88%,-66%,-80%,-88%,-72%,+20%
Australia,-45%,-19%,-35%,-58%,-33%,+13%
Austria,-87%,-64%,-43%,-71%,-51%,+14%
Bahrain,-45%,-22%,-40%,-38%,-25%,+16%
Bangladesh,-68%,-46%,-26%,-66%,-60%,+24%
Barbados,-70%,-47%,-60%,-77%,-52%,+15%
Belarus,-14%,+5%,+41%,-7%,+3%,-2%
Belgium,-84%,-53%,-66%,-76%,-52%,+17%
Belize,-63%,-49%,-38%,-68%,-42%,+13%
Benin,-16%,+0%,+10%,-14%,+2%,+5%
Bolivia,-93%,-94%,-89%,-92%,-72%,+35%
Bosnia and Herzegovina,-76%,-50%,-22%,-59%,-50%,+13%
Botswana,-12%,-2%,+7%,-20%,-3%,+13%
Brazil,-71%,-35%,-70%,-62%,-34%,+17%
Bulgaria,-66%,-36%,-32%,-58%,-29%,+11%
Burkina Faso,-34%,-25%,-22%,-53%,-3%,Baseline
Cambodia,-43%,-29%,-31%,-57%,-15%,+12%
Cameroon,-26%,-20%,-19%,-23%,-3%,Baseline
Canada,-59%,-35%,-16%,-66%,-44%,+14%
Cape Verde,-60%,-48%,-57%,-88%,-40%,+19%
Chile,-73%,-55%,-72%,-64%,-42%,+24%
Colombia,-86%,-68%,-80%,-82%,-58%,+26%
Costa Rica,-68%,-41%,-71%,-68%,-39%,+21%
Croatia,-82%,-57%,-45%,-74%,-50%,+15%
Czechia,-73%,-26%,-24%,-61%,-31%,+11%
Côte d'Ivoire,-35%,-21%,-21%,-33%,-9%,+14%
Denmark,-37%,-22%,+35%,-60%,-28%,+9%
Dominican Republic,-80%,-63%,-73%,-84%,-56%,+23%
Ecuador,-84%,-66%,-80%,-80%,-61%,+26%
Egypt,-50%,-24%,-40%,-52%,-35%,+15%
El Salvador,-81%,-62%,-72%,-73%,-50%,+23%
Estonia,-60%,-28%,+4%,-51%,-32%,+10%
Fiji,-39%,-25%,-13%,-59%,-6%,+12%
Finland,-52%,-21%,+48%,-59%,-25%,+9%
France,-88%,-72%,-82%,-87%,-56%,+18%
Gabon,-39%,-24%,-25%,-47%,-15%,+15%
